Key,File,Type,UsedInMainMenu,NoTranslate,english,spanish,Context
bookStoneToolsT3TMDesc,,,,,"Can craft axe and shovel stone tier 3. \n\nUnlock Stone Tools T4","Permite fabricar hacha y pala de piedra tier 3. \n\nDesbloquea Herramientas de Piedra T4",,
bookStoneToolsT4TMDesc,,,,,"Can craft axe and shovel stone tier 4. \n\nUnlock Stone Tools T5","Permite fabricar hacha y pala de piedra tier 4. \n\nDesbloquea Herramientas de Piedra T5",,
bookStoneToolsT5TMDesc,,,,,"Can craft axe and shovel stone tier 5. \n\nUnlock Stone Tools T6","Permite fabricar hacha y pala de piedra tier 5. \n\nDesbloquea Herramientas de Piedra T6",,
bookStoneToolsT6TMDesc,,,,,"Can craft axe and shovel stone tier 6. \n\nUnlock Iron Tools T1","Permite fabricar hacha y pala de piedra tier 6. \n\nDesbloquea Herramientas de Hierro T1",,
bookIronToolsT1TM,,,,,"T1 Iron Tools T1","T1 Herramientas de Hierro T1",,
bookIronToolsT2TM,,,,,"T1 Iron Tools T2","T1 Herramientas de Hierro T2",,
bookIronToolsT3TM,,,,,"T1 Iron Tools T3","T1 Herramientas de Hierro T3",,
bookIronToolsT4TM,,,,,"T1 Iron Tools T4","T1 Herramientas de Hierro T4",,
bookIronToolsT5TM,,,,,"T1 Iron Tools T5","T1 Herramientas de Hierro T5",,
bookIronToolsT6TM,,,,,"T1 Iron Tools T6","T1 Herramientas de Hierro T6",,
bookIronToolsT1TMDesc,,,,,"Can craft fireaxe, pickaxe, shovel, claw hammer and wrench iron tier 1. \n\nUnlock Iron Tools T2","Permite fabricar hacha, pico, pala, martillo y llave inglesa de hierro tier 1. \n\nDesbloquea Esquema Herramientas de Hierro T2",,
bookIronToolsT2TMDesc,,,,,"Can craft fireaxe, pickaxe, shovel, claw hammer and wrench iron tier 2. \n\nUnlock Iron Tools T3","Permite fabricar hacha, pico, pala, martillo y llave inglesa de hierro tier 2. \n\nDesbloquea Esquema Herramientas de Hierro T3",,
bookIronToolsT3TMDesc,,,,,"Can craft fireaxe, pickaxe, shovel, claw hammer and wrench iron tier 3. \n\nUnlock Iron Tools T4","Permite fabricar hacha, pico, pala, martillo y llave inglesa de hierro tier 3. \n\nDesbloquea Esquema Herramientas de Hierro T4",,
bookIronToolsT4TMDesc,,,,,"Can craft fireaxe, pickaxe, shovel, claw hammer and wrench iron tier 4. \n\nUnlock Iron Tools T5","Permite fabricar hacha, pico, pala, martillo y llave inglesa de hierro tier 4. \n\nDesbloquea Esquema Herramientas de Hierro T5",,
bookIronToolsT5TMDesc,,,,,"Can craft fireaxe, pickaxe, shovel, claw hammer and wrench iron tier 5. \n\nUnlock Iron Tools T6","Permite fabricar hacha, pico, pala, martillo y llave inglesa de hierro tier 5. \n\nDesbloquea Esquema Herramientas de Hierro T6",,
bookIronToolsT6TMDesc,,,,,"Can craft fireaxe, pickaxe, shovel, claw hammer and wrench iron tier 6. \n\nUnlock Steel Tools T1","Permite fabricar hacha, pico, pala, martillo y llave inglesa de hierro tier 6. \n\nDesbloquea Esquema Herramientas de Acero T1",,
bookSteelToolsT1TM,,,,,"T2 Steel Tools T1","T2 Herramientas de Acero T1",,
bookSteelToolsT2TM,,,,,"T2 Steel Tools T2","T2 Herramientas de Acero T2",,
bookSteelToolsT3TM,,,,,"T2 Steel Tools T3","T2 Herramientas de Acero T3",,
bookSteelToolsT4TM,,,,,"T2 Steel Tools T4","T2 Herramientas de Acero T4",,
bookSteelToolsT5TM,,,,,"T2 Steel Tools T5","T2 Herramientas de Acero T5",,
bookSteelToolsT6TM,,,,,"T2 Steel Tools T6","T2 Herramientas de Acero T6",,
bookSteelToolsT1TMDesc,,,,,"Can craft axe, pickaxe, shovel and ratchet steel tier 1. \n\nUnlock Steel Tools T2","Permite fabricar hacha, pico, pala y llave trinquete de acero tier 1. \n\nDesbloquea Herramientas de Acero T2",,
bookSteelToolsT2TMDesc,,,,,"Can craft axe, pickaxe, shovel and ratchet steel tier 2. \n\nUnlock Steel Tools T3","Permite fabricar hacha, pico, pala y llave trinquete de acero tier 2. \n\nDesbloquea Herramientas de Acero T3",,
bookSteelToolsT3TMDesc,,,,,"Can craft axe, pickaxe, shovel and ratchet steel tier 3. \n\nUnlock Steel Tools T4","Permite fabricar hacha, pico, pala y llave trinquete de acero tier 3. \n\nDesbloquea Herramientas de Acero T4",,
bookSteelToolsT4TMDesc,,,,,"Can craft axe, pickaxe, shovel and ratchet steel tier 4. \n\nUnlock Steel Tools T5","Permite fabricar hacha, pico, pala y llave trinquete de acero tier 4. \n\nDesbloquea Herramientas de Acero T5",,
bookSteelToolsT5TMDesc,,,,,"Can craft axe, pickaxe, shovel and ratchet steel tier 5. \n\nUnlock Steel Tools T6","Permite fabricar hacha, pico, pala y llave trinquete de acero tier 5. \n\nDesbloquea Herramientas de Acero T6",,
bookSteelToolsT6TMDesc,,,,,"Can craft axe, pickaxe, shovel and ratchet steel tier 6. \n\nUnlock Motor Tools T1","Permite fabricar hacha, pico, pala y llave trinquete de acero tier 6. \n\nDesbloquea Herramientas de Motor T1",,
bookMotorToolsT1TM,,,,,"T3 Motor Tools T1","T3 Herramientas de Motor T1",,
bookMotorToolsT2TM,,,,,"T3 Motor Tools T2","T3 Herramientas de Motor T2",,
bookMotorToolsT3TM,,,,,"T3 Motor Tools T3","T3 Herramientas de Motor T3",,
bookMotorToolsT4TM,,,,,"T3 Motor Tools T4","T3 Herramientas de Motor T4",,
bookMotorToolsT5TM,,,,,"T3 Motor Tools T5","T3 Herramientas de Motor T5",,
bookMotorToolsT6TM,,,,,"T3 Motor Tools T6","T3 Herramientas de Motor T6",,
bookMotorToolsT1TMDesc,,,,,"Can craft chainsaw, auger, impact driver and nailgun tier 1. \n\nUnlock Motor Tools T2","Permite fabricar motosierra, taladro, atornilladora y pistola de clavos tier 1. \n\nDesbloquea Herramientas de Motor T2",,
bookMotorToolsT2TMDesc,,,,,"Can craft chainsaw, auger, impact driver and nailgun tier 2. \n\nUnlock Motor Tools T3","Permite fabricar motosierra, taladro, atornilladora y pistola de clavos tier 2. \n\nDesbloquea Herramientas de Motor T3",,
bookMotorToolsT3TMDesc,,,,,"Can craft chainsaw, auger, impact driver and nailgun tier 3. \n\nUnlock Motor Tools T4","Permite fabricar motosierra, taladro, atornilladora y pistola de clavos tier 3. \n\nDesbloquea Herramientas de Motor T4",,
bookMotorToolsT4TMDesc,,,,,"Can craft chainsaw, auger, impact driver and nailgun tier 4. \n\nUnlock Motor Tools T5","Permite fabricar motosierra, taladro, atornilladora y pistola de clavos tier 4. \n\nDesbloquea Herramientas de Motor T5",,
bookMotorToolsT5TMDesc,,,,,"Can craft chainsaw, auger, impact driver and nailgun tier 5. \n\nUnlock Motor Tools T6","Permite fabricar motosierra, taladro, atornilladora y pistola de clavos tier 5. \n\nDesbloquea Herramientas de Motor T6",,
bookMotorToolsT6TMDesc,,,,,"Can craft chainsaw, auger, impact driver and nailgun tier 6. \n\nUnlock Tongo Tools T1","Permite fabricar motosierra, taladro, atornilladora y pistola de clavos tier 6. \n\nDesbloquea Herramientas de TongoMod T1",,
bookTongoToolsT1TM,,,,,"T4 TongoTools T1","T4 Herramientas de TongoMod T1",,
bookTongoToolsT2TM,,,,,"T4 TongoTools T2","T4 Herramientas de TongoMod T2",,
bookTongoToolsT3TM,,,,,"T4 TongoTools T3","T4 Herramientas de TongoMod T3",,
bookTongoToolsT4TM,,,,,"T4 TongoTools T4","T4 Herramientas de TongoMod T4",,
bookTongoToolsT5TM,,,,,"T4 TongoTools T5","T4 Herramientas de TongoMod T5",,
bookTongoToolsT6TM,,,,,"T4 TongoTools T6","T4 Herramientas de TongoMod T6",,
bookTongoToolsT1TMDesc,,,,,"Can craft chainsaw, auger, impact driver and nailgun Tongo tier 1. \n\nUnlock Tongo Tools T1","Permite fabricar Mega motosierra, Mega taladro, Mega atornilladora y Mega pistola de clavos de TongoMod tier 1. \n\nDesbloquea Herramientas de TongoMod T2",,
bookTongoToolsT2TMDesc,,,,,"Can craft chainsaw, auger and impact driver Tongo tier 2. \n\nUnlock Tongo Tools T3","Permite fabricar Mega motosierra, Mega taladro y Mega atornilladora TongoMod tier 2. \n\nDesbloquea Herramientas de TongoMod T3",,
bookTongoToolsT3TMDesc,,,,,"Can craft chainsaw, auger and impact driver Tongo tier 3. \n\nUnlock Tongo Tools T4","Permite fabricar Mega motosierra, Mega taladro y Mega atornilladora TongoMod tier 3. \n\nDesbloquea Herramientas de TongoMod T4",,
bookTongoToolsT4TMDesc,,,,,"Can craft chainsaw, auger and impact driver Tongo tier 4. \n\nUnlock Tongo Tools T5","Permite fabricar Mega motosierra, Mega taladro y Mega atornilladora TongoMod tier 4. \n\nDesbloquea Herramientas de TongoMod T5",,
bookTongoToolsT5TMDesc,,,,,"Can craft chainsaw, auger and impact driver Tongo tier 5. \n\nUnlock Tongo Tools T6","Permite fabricar Mega motosierra, Mega taladro y Mega atornilladora TongoMod tier 5. \n\nDesbloquea Herramientas de TongoMod T6",,
bookTongoToolsT6TMDesc,,,,,"Can craft chainsaw, auger and impact driver Tongo tier 6.","Permite fabricar Mega motosierra, Mega taladro y Mega atornilladora TongoMod tier 6." ,,
lblHerramientasMakina,,,,,"Tools Progression","Progresión Herramientas",,
lblMeleeMakina,,,,,"Melee Weapons Progression","Progresión Armas a Melee",,
lblRangedMakina,,,,,"Ranged Weapons Progression","Progresión Armas a Distancia",,
lblArmorMakina,,,,,"Armor Progression","Progresión Armaduras",,
lblElecMakina,,,,,"Electricity, Mechanic and Workstations Progression","Progresión Electricidad, Mecanica y Estaciones de Trabajo",,
lblMechanicMakina,,,,,"English","este creo que esta eliminado!!!",,
lblBombMakina,,,,,"Food, Medical and Explosives Progression","Progresión Comida, Medicina y Explosivos",,
lblOldMakina,,,,,"English","¿Recetas antiguas?",,
bookMeleeStoneT1TM,,,,,"T0 Primitive Melee Weapons T1","T0 Armas a Melee primitivas T1",,
bookMeleeStoneT2TM,,,,,"T0 Primitive Melee Weapons T2","T0 Armas a Melee primitivas T2",,
bookMeleeStoneT3TM,,,,,"T0 Primitive Melee Weapons T3","T0 Armas a Melee primitivas T3",,
bookMeleeStoneT4TM,,,,,"T0 Primitive Melee Weapons T4","T0 Armas a Melee primitivas T4",,
bookMeleeStoneT5TM,,,,,"T0 Primitive Melee Weapons T5","T0 Armas a Melee primitivas T5",,
bookMeleeStoneT6TM,,,,,"T0 Primitive Melee Weapons T6","T0 Armas a Melee primitivas T6",,
bookMeleeStoneT1TMDesc,,,,,"\n\nUnlock Primitive Melee Weapons T2","Desbloquea Armas a Melee Primitivas T2",,
bookMeleeStoneT2TMDesc,,,,,"Can craft leather knuckles, bone knife, wooden club, stone sledgehammer, stone spear and pipe baton tier 2. \n\nUnlock Primitive Melee Weapons T3","Permite fabricar nudillos de cuero, cuchillo de hueso, garrote de madera, mazo de piedra, lanza de piedra y baston de tuberia T2 \n\nDesbloquea Armas a Melee Primitivas T3",,
bookMeleeStoneT3TMDesc,,,,,"Can craft leather knuckles, bone knife, wooden club, stone sledgehammer, stone spear and pipe baton tier 3. \n\nUnlock Primitive Melee Weapons T4","Permite fabricar nudillos de cuero, cuchillo de hueso, garrote de madera, mazo de piedra, lanza de piedra y baston de tuberia T3 \n\nDesbloquea Armas a Melee Primitivas T4",,
bookMeleeStoneT4TMDesc,,,,,"Can craft leather knuckles, bone knife, wooden club, stone sledgehammer, stone spear and pipe baton tier 4. \n\nUnlock Primitive Melee Weapons T5","Permite fabricar nudillos de cuero, cuchillo de hueso, garrote de madera, mazo de piedra, lanza de piedra y baston de tuberia T4 \n\nDesbloquea Armas a Melee Primitivas T5",,
bookMeleeStoneT5TMDesc,,,,,"Can craft leather knuckles, bone knife, wooden club, stone sledgehammer, stone spear and pipe baton tier 5. \n\nUnlock Primitive Melee Weapons T6","Permite fabricar nudillos de cuero, cuchillo de hueso, garrote de madera, mazo de piedra, lanza de piedra y baston de tuberia T5 \n\nDesbloquea Armas a Melee Primitivas T6",,
bookMeleeStoneT6TMDesc,,,,,"Can craft leather knuckles, bone knife, wooden club, stone sledgehammer, stone spear and pipe baton tier 6. \n\nUnlock Iron Melee Weapons T1","Permite fabricar nudillos de cuero, cuchillo de hueso, garrote de madera, mazo de piedra, lanza de piedra y baston de tuberia T6 \n\nDesbloquea Armas a Melee de HierroT1",,
bookMeleeIronT1TM,,,,,"T1 Iron Melee Weapons T1","T1 Armas a Melee de Hierro T1",,
bookMeleeIronT2TM,,,,,"T1 Iron Melee Weapons T2","T1 Armas a Melee de Hierro T2",,
bookMeleeIronT3TM,,,,,"T1 Iron Melee Weapons T3","T1 Armas a Melee de Hierro T3",,
bookMeleeIronT4TM,,,,,"T1 Iron Melee Weapons T4","T1 Armas a Melee de Hierro T4",,
bookMeleeIronT5TM,,,,,"T1 Iron Melee Weapons T5","T1 Armas a Melee de Hierro T5",,
bookMeleeIronT6TM,,,,,"T1 Iron Melee Weapons T6","T1 Armas a Melee de Hierro T6",,
bookMeleeIronT1TMDesc,,,,,"Can craft iron knuckles, hunting knife, baseball bat, iron sledgehammer, iron spear and junk sledge tier 1. \n\nUnlock Iron Melee Weapons T2","Permite fabricar nudillos de hierro, cuchillo de caza, bate de beisbol, mazo de hierro, lanza de hierro y mazo robotico T1  \n\nDesbloquea Armas a Melee de Hierro T2",,
bookMeleeIronT2TMDesc,,,,,"Can craft iron knuckles, hunting knife, baseball bat, iron sledgehammer, iron spear and junk sledge tier 2. \n\nUnlock Iron Melee Weapons T3","Permite fabricar nudillos de hierro, cuchillo de caza, bate de beisbol, mazo de hierro, lanza de hierro y mazo robotico T2  \n\nDesbloquea Armas a Melee de Hierro T3",,
bookMeleeIronT3TMDesc,,,,,"Can craft iron knuckles, hunting knife, baseball bat, iron sledgehammer, iron spear and junk sledge tier 3. \n\nUnlock Iron Melee Weapons T4","Permite fabricar nudillos de hierro, cuchillo de caza, bate de beisbol, mazo de hierro, lanza de hierro y mazo robotico T3  \n\nDesbloquea Armas a Melee de Hierro T4",,
bookMeleeIronT4TMDesc,,,,,"Can craft iron knuckles, hunting knife, baseball bat, iron sledgehammer, iron spear and junk sledge tier 4. \n\nUnlock Iron Melee Weapons T5","Permite fabricar nudillos de hierro, cuchillo de caza, bate de beisbol, mazo de hierro, lanza de hierro y mazo robotico T4  \n\nDesbloquea Armas a Melee de Hierro T5",,
bookMeleeIronT5TMDesc,,,,,"Can craft iron knuckles, hunting knife, baseball bat, iron sledgehammer, iron spear and junk sledge tier 5. \n\nUnlock Iron Melee Weapons T6","Permite fabricar nudillos de hierro, cuchillo de caza, bate de beisbol, mazo de hierro, lanza de hierro y mazo robotico T5  \n\nDesbloquea Armas a Melee de Hierro T6",,
bookMeleeIronT6TMDesc,,,,,"Can craft iron knuckles, hunting knife, baseball bat, iron sledgehammer, iron spear and junk sledge tier 6. \n\nUnlock Steel Melee Weapons T1","Permite fabricar nudillos de hierro, cuchillo de caza, bate de beisbol, mazo de hierro, lanza de hierro y mazo robotico T6  \n\nDesbloquea Armas a Melee de Acero T1",,
bookMeleeSteelT1TM,,,,,"T2 Steel Melee Weapons T1","T2 Armas a Melee de Acero T1",,
bookMeleeSteelT2TM,,,,,"T2 Steel Melee Weapons T2","T2 Armas a Melee de Acero T2",,
bookMeleeSteelT3TM,,,,,"T2 Steel Melee Weapons T3","T2 Armas a Melee de Acero T3",,
bookMeleeSteelT4TM,,,,,"T2 Steel Melee Weapons T4","T2 Armas a Melee de Acero T4",,
bookMeleeSteelT5TM,,,,,"T2 Steel Melee Weapons T5","T2 Armas a Melee de Acero T5",,
bookMeleeSteelT6TM,,,,,"T2 Steel Melee Weapons T6","T2 Armas a Melee de Acero T6",,
bookMeleeSteelT1TMDesc,,,,,"Can craft steel knuckles, machete, steel club, steel sledgehammer, steel spear and stunt baton T1. \n\nUnlock Steel Melee Weapons T2","Permite fabricar nudillos de acero, machete, palo de acero, mazo de acero, lanza de acero y porra electrica T1 \n\nDesbloquea Armas a Melee de Acero T2",,
